Tname tGapStart tGapSize Qname qGapStart qGapSize Samples
OsjChr6_27965001_28023000 2841 11 5687385 1677 2 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 51916 9 3452749 146 0 DA_GANG_ZHAN;
OsjChr6_27965001_28023000 51916 9 3583565 145 0 AUS_242;
OsjChr6_27965001_28023000 51916 9 3584536 153 0 AUS_308;
OsjChr6_27965001_28023000 51916 9 3611710 158 0 BORO_275;
OsjChr6_27965001_28023000 51916 9 4013075 144 0 IRBB62;
OsjChr6_27965001_28023000 51916 9 4102675 133 0 ARC_11276;
OsjChr6_27965001_28023000 51916 9 4157836 144 0 ARC_12920;
OsjChr6_27965001_28023000 51916 9 4160600 150 0 DV86;
OsjChr6_27965001_28023000 51916 9 4498563 134 0 AUS_295;
OsjChr6_27965001_28023000 51916 9 4628474 139 0 BEGUNBICHI_33;
OsjChr6_27965001_28023000 51916 9 4903478 145 0 IRBB7;
OsjChr6_27965001_28023000 51916 9 5230957 159 0 NCS271_A;
OsjChr6_27965001_28023000 51916 9 5371725 133 0 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 56616 207 3362750 263 0 AUS_308;
OsjChr6_27965001_28023000 587 876 3663297 315 0 BORO_275;
OsjChr6_27965001_28023000 587 876 4026490 307 0 IRBB62;
OsjChr6_27965001_28023000 587 876 5279043 301 0 NCS271_A;
OsjChr6_27965001_28023000 587 876 5687385 299 0 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 587 876 6006764 295 0 NATEL_BORO;
